id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
86475,86742.0,161096.0,6603.0,,60Bet Oph,Cebalrai,17.724543,4.567303,25.0941,-40.67,158.8,-12.0,2.76,0.762,K2III,1.168,-1.802333,-24.949291,1.998237,-3.94e-06,1.409e-05,1.828e-05,4.640274382729916,0.079714471486085,-1.971737239e-07,7.69884124e-07,Bet,60.0,Oph,1,86475,,43.17178444709226,,,
86515,86782.0,161693.0,6618.0,,,Alruba,17.733103,53.801715,163.3987,13.32,-16.35,-2.0,5.75,-0.316,A2V,0.017,-6.737285,-96.264768,131.85914,9.88e-06,-9.96e-06,-9.3e-06,4.642515503050344,0.939017069413435,6.45771823e-08,-7.9267036e-08,,,Dra,1,86515,,116.5198723025,,,
86529,86796.0,160691.0,6585.0,Gl 691,Mu  Ara,Cervantes,17.735752,-51.834053,15.5111,-15.06,-191.17,-9.0,5.12,4.167,G5V,0.694,-0.662558,-9.561971,-12.19514,4e-08,1.703e-05,-1.65e-06,4.643209088136773,-0.9046748876602388,-7.30129403e-08,-9.26818313e-07,Mu,,Ara,1,86529,,1.8758581737992832,,,
86991,87261.0,161892.0,6630.0,,,Fuyue,17.830965,-37.043304,38.5802,42.09,27.77,25.0,3.19,0.258,K0/K1III,1.192,-1.362278,-30.763993,-23.24156,6.82e-06,-2.386e-05,-1.126e-05,4.668135843508184,-0.6465276119633587,2.040580781e-07,1.34632759e-07,,,Sco,1,86991,,68.67521061488183,,,
87314,87585.0,163588.0,6688.0,,32Xi  Dra,Grumium,17.892134,56.872643,34.5066,93.65,78.44,-26.0,3.73,1.04,K2III,1.177,-0.532395,-18.850278,28.897629,1.638e-05,2.507e-05,-1.51e-05,4.684149845745104,0.9926148695186964,4.540280118e-07,3.80287851e-07,Xi,32.0,Dra,1,87314,,33.419504002611426,,,
87561,87833.0,164058.0,6705.0,,33Gam Dra,Eltanin,17.943437,51.488895,47.3037,-8.52,-23.05,-28.0,2.24,-1.134,K5III,1.521,-0.436154,-29.451035,37.014357,-1.75e-06,1.372e-05,-2.57e-05,4.697580791571401,0.8986507441914112,-4.13061256e-08,-1.11749553e-07,Gam,33.0,Dra,1,87561,,247.5141318074314,,,
87665,87937.0,,,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,-797.84,9999.99,-111.0,9.54,13.235,sdM4,1.57,-0.017373,-1.816613,0.149123,-5.91e-06,0.0001204,7.888e-05,4.702826031672147,0.0819150787324337,-3.8680374689e-06,5.0066369421e-05,,,Oph,1,87665,,0.0004425883723626,V2500,9.59,9.49
88361,88635.0,165135.0,6746.0,,10Gam2Sgr,Alnasl,18.096803,-30.424091,29.7,-55.75,-181.53,22.0,2.98,0.616,K0III,0.981,0.648969,-25.602281,-15.040072,-7.87e-06,-6.37e-06,-3.393e-05,4.737732034018264,-0.5310005637198976,-2.702836269e-07,-8.80082274e-07,Gam-2,10.0,Sgr,1,88361,,49.38556196176077,,,
89064,89341.0,166937.0,6812.0,,13Mu  Sgr,Polis,18.229392,-21.058834,100000.0,1.72,-1.39,-6.0,3.84,-16.16,B2III:,0.195,5600.996443,-93152.961403,-35932.639895,0.00081743,0.00029745,-0.00062662,4.77244354896446,-0.3675459839654625,8.3387953e-09,-6.73891e-09,Mu,13.0,Sgr,1,89064,,253512863.0497907,Mu,3.928,3.808
89653,89931.0,168454.0,6859.0,,19Del Sgr,Kaus Media,18.3499,-29.828103,106.6098,29.96,-26.38,-20.0,2.72,-2.419,K3III,1.38,8.460232,-92.098382,-53.027575,1.318e-05,2.584e-05,-1.65e-06,4.803992512939064,-0.5205986100711699,1.452501787e-07,-1.27893848e-07,Del,19.0,Sgr,1,89653,,808.3510373900685,,,
89906,90185.0,169022.0,6879.0,,20Eps Sgr,Kaus Australis,18.402868,-34.384616,43.9367,-39.61,-124.05,-15.0,1.79,-1.424,B9.5III,-0.031,3.817188,-36.057831,-24.812975,-1.129e-05,2.654e-05,-1.314e-05,4.817859452696385,-0.6001247623494875,-1.920346989e-07,-6.0141137e-07,Eps,20.0,Sgr,1,89906,,323.2957533680941,,,
90065,90344.0,170693.0,6945.0,,42    Dra,Fafnir,18.433069,65.56348,96.5251,106.52,-27.07,32.0,4.82,-0.103,K2III,1.179,4.51784,-39.674686,87.878659,5.236e-05,-1.927e-05,2.456e-05,4.82576629170591,1.1442986016581989,5.164235325e-07,-1.31239063e-07,,42.0,Dra,1,90065,,95.76349769692683,,,
90217,90496.0,169916.0,6913.0,Gl 713.1,22Lam Sgr,Kaus Borealis,18.466179,-25.4217,23.9693,-44.81,-186.29,-43.2,2.82,0.922,K1IIIb,1.025,2.635486,-21.487046,-10.289309,-1.116e-05,4.82e-05,-5.8e-07,4.83443427510616,-0.4436923676447937,-2.172450103e-07,-9.03159405e-07,Lam,22.0,Sgr,1,90217,,37.25632384666037,,,
90979,91262.0,172167.0,7001.0,Gl 721,3Alp Lyr,Vega,18.61564,38.783692,7.6787,201.02,287.46,-12.1,0.03,0.604,A0Vvar,-0.001,0.960565,-5.908009,4.809731,4.76e-06,1.734e-05,5.9e-07,4.873563095509031,0.6769031163973025,9.745724607e-07,1.393645406e-06,Alp,3.0,Lyr,1,90979,,49.93441887213498,,,
91484,91768.0,173739.0,,Gl 725A,,Struve 2398 A,18.713179,59.630396,3.5691,-1326.88,1802.12,-0.8,8.94,11.177,K5,1.504,0.334856,-1.773105,3.079349,-2.763e-05,2.258e-05,1.506e-05,4.89909872516206,1.040746744087625,-6.4328957646e-06,8.7369243e-06,,,Dra,1,91484,Gl 725,0.0029457779023394,,9.149,8.809
91487,91772.0,173740.0,,Gl 725B,,Struve 2398 B,18.713249,59.626847,3.4545,-1393.2,1845.73,1.2,9.7,12.008,K5,1.561,0.324167,-1.716358,2.980381,-2.776e-05,2.126e-05,1.669e-05,4.899117170788272,1.0406847970760271,-6.7544241975e-06,8.948351546e-06,,,Dra,2,91484,Gl 725,0.0013702505971242,,,
92115,92403.0,,,Gl 729,,Ross 154,18.830369,-23.836232,2.9698,637.55,-192.47,-12.1,10.37,13.006,M3.5Ve,1.51,0.585883,-2.652454,-1.200123,6.28e-06,1.413e-05,2.47e-06,4.929779029634179,-0.4160207358077875,3.0909296204e-06,-9.3312089e-07,,,Sgr,1,92115,,0.0005465123745199,V1216,10.408,10.338
92133,92420.0,174638.0,7106.0,,10Bet Lyr,Sheliak,18.834665,33.362667,294.9853,1.1,-4.46,-19.0,3.52,-3.829,A8:V comp SB,0.003,53.40884,-240.514817,162.223134,-1.22e-06,1.276e-05,-1.601e-05,4.930903798663317,0.5822883858014625,5.3329505e-09,-2.162269e-08,Bet,10.0,Lyr,1,92133,,2962.1019360527675,Bet,4.259,3.329
92471,92761.0,174974.0,7116.0,,32Nu 1Sgr,Ainalrami,18.902827,-22.744834,344.8276,2.95,-5.7,-12.0,4.86,-2.828,K1II,1.412,74.467326,-309.170538,-133.319898,1.28e-06,1.574e-05,-4.04e-06,4.948748514142531,-0.3969722408008163,1.43020036e-08,-2.7634379e-08,Nu-1,32.0,Sgr,1,92471,,1178.148406002925,,,
92564,92855.0,175191.0,7121.0,,34Sig Sgr,Nunki,18.92109,-26.296722,69.8324,13.87,-52.65,-11.0,2.05,-2.17,B2.5V,-0.134,14.950858,-60.794062,-30.937099,2.7e-07,1.858e-05,-1.1e-05,4.953529829382003,-0.4589643844760175,6.72436575e-08,-2.55254402e-07,Sig,34.0,Sgr,1,92564,,642.6877173170194,,,
92654,92946.0,175638.0,7141.0,,63The1Ser,Alya,18.936995,4.203595,47.4158,37.69,26.98,-46.0,4.62,1.24,A5V,0.161,11.483943,-45.872196,3.475585,-3.1e-06,4.806e-05,2.74e-06,4.9576937148549165,0.0733665745238962,1.827262762e-07,1.30802731e-07,The-1,63.0,Ser,1,92654,,27.797132677592884,,4.694,4.394
92902,93194.0,176437.0,7178.0,,14Gam Lyr,Sulafat,18.982395,32.689557,190.1141,-2.76,1.77,-21.0,3.25,-3.145,B9III,-0.049,40.69872,-154.738921,102.67804,-7.28e-06,1.769e-05,-1.023e-05,4.969579452917496,0.5705404070855175,-1.33808576e-08,8.581202e-09,Gam,14.0,Lyr,1,92902,,1577.6112696993484,,,
93213,93506.0,176687.0,7194.0,,38Zet Sgr,Ascella,19.043532,-29.880105,27.0416,-14.1,3.66,22.0,2.6,0.44,A3IV,0.062,6.326274,-22.577554,-13.471863,3.55e-06,-1.951e-05,-1.079e-05,4.985585011861122,-0.521506218738425,-6.8358729e-08,1.774418e-08,Zet,38.0,Sgr,1,93213,,58.07644175213118,,,
93452,93747.0,177724.0,7235.0,GJ 4095A,17Zet Aql,Okab,19.090169,13.863478,25.4582,-7.04,-95.31,-25.0,2.99,0.961,A0Vn,0.014,6.95881,-23.716532,6.099966,-7.03e-06,2.087e-05,-1.755e-05,4.997794545354773,0.2419633388357175,-3.41308831e-08,-4.62075918e-07,Zet,17.0,Aql,1,93452,GJ 4095,35.94181463147148,,,
93819,94114.0,178253.0,7254.0,,Alp CrA,Meridiana,19.157869,-37.904474,38.432,85.73,-96.65,-18.0,4.11,1.187,A0/A1V,0.042,9.052029,-28.941534,-23.610478,7.61e-06,2.919e-05,-2.9e-06,5.015518361769223,-0.6615578790086926,4.156307683e-07,-4.68572422e-07,Alp,,CrA,1,93819,,29.187708481971423,,,
93846,94141.0,178524.0,7264.0,,41Pi  Sgr,Albaldah,19.162731,-21.023615,156.25,-1.17,-36.83,-10.0,2.88,-3.089,F2II/III,0.377,43.714239,-139.143552,-56.055078,-6.71e-06,1.839e-05,-2.237e-05,5.016791345367199,-0.3669312993726825,-5.6723201e-09,-1.78556878e-07,Pi,41.0,Sgr,1,93846,,1498.30421062266,,,
94081,94376.0,180711.0,7310.0,,57Del Dra,Altais,19.209225,67.661541,29.8686,94.49,92.3,25.0,3.07,0.694,G9III,0.99,3.534238,-10.788301,27.627312,1.218e-05,6.77e-06,2.873e-05,5.028963347378909,1.1809166704764862,4.581004468e-07,4.47483027e-07,Del,57.0,Dra,1,94081,,45.96211446660011,,,
94186,94481.0,180163.0,7298.0,,20Eta Lyr,Aladfar,19.229302,39.145968,425.5319,-1.59,-0.61,-8.0,4.43,-3.715,B2.5IV,-0.15,104.385585,-313.073293,268.637487,-4.87e-06,4.23e-06,-6.14e-06,5.034219530550296,0.6832260331230737,-7.7085375e-09,-2.957363e-09,Eta,20.0,Lyr,1,94186,,2666.8586645214805,,,
94946,95241.0,181454.0,7337.0,,Bet1Sgr,Arkab Prior,19.377303,-44.458965,96.1538,7.31,-22.43,-11.0,3.96,-0.955,B9V,-0.085,24.213622,-64.216561,-67.345884,-2.23e-06,1.557e-05,4.2e-07,5.07296605509895,-0.775955313507445,3.543988e-08,-1.08743708e-07,Bet-1,,Sgr,1,94946,,209.89398836235245,,,
94999,95294.0,181623.0,7343.0,,Bet2Sgr,Arkab Posterior,19.386976,-44.799778,41.1353,92.78,-53.73,19.0,4.27,1.199,F2III,0.35,10.367344,-27.285432,-28.985346,1.951e-05,7.4e-07,-2.129e-05,5.075498520838663,-0.7819036372909125,4.498101328e-07,-2.6049039e-07,Bet-2,,Sgr,1,94999,,28.866890179482727,,,
95052,95347.0,181869.0,7348.0,,Alp Sgr,Rukbat,19.398103,-40.61594,55.7414,32.67,-120.81,-1.0,3.96,0.229,B8V,-0.105,15.143928,-39.50987,-36.286833,3.6e-07,2.373e-05,-2.411e-05,5.078411455900508,-0.7088818789048114,1.583886294e-07,-5.85703407e-07,Alp,,Sgr,1,95052,,70.53424142580965,,,
95473,95771.0,183439.0,7405.0,,6Alp Vul,Anser,19.478427,24.664905,91.1577,-126.45,-106.99,-86.0,4.44,-0.359,M0 comp,1.502,31.268751,-76.712143,38.040745,-7.447e-05,3.465e-05,-7.967e-05,5.099440259839634,0.430483797356135,-6.130468991e-07,-5.18702156e-07,Alp,6.0,Vul,1,95473,,121.22717925364972,,,
95648,95947.0,183912.0,7417.0,,6Bet1Cyg,Albireo,19.512023,27.959681,133.1558,-7.09,-5.63,-24.0,3.05,-2.572,K3II+...,1.088,45.350466,-108.51838,62.430012,-1.193e-05,1.667e-05,-1.472e-05,5.108235547233712,0.4879884921686625,-3.437329e-08,-2.729501e-08,Bet-1,6.0,Cyg,1,95648,,930.6791831626532,,,
95799,96100.0,185144.0,7462.0,Gl 764,61Sig Dra,Alsafi,19.539149,69.661175,5.7547,598.43,-1738.81,28.2,4.67,5.87,K0V,0.786,0.784452,-1.840016,5.396152,3.712e-05,-4.452e-05,1.019e-05,5.11533717611695,1.2158168705983676,2.9012705085e-06,-8.429988758e-06,Sig,61.0,Dra,1,95799,,0.3908408957924018,,,
95992,96295.0,184738.0,,,,Campbell's Hydrogen Star,19.579231,30.516371,100000.0,-4.16,-10.19,-30.4,10.0,-10.0,WC...,-0.013,34611.284098,-78889.844899,50778.453408,-0.00084972,-0.00308271,-0.00427137,5.12583076552782,0.5326111517280024,-2.01682491e-08,-4.9402514e-08,,,Cyg,1,95992,,870963.5899560815,V1966,10.048,9.938
96450,96757.0,185758.0,7479.0,,5Alp Sge,Sham,19.668275,18.01389,130.3781,15.09,-19.72,2.0,4.39,-1.186,G0II,0.777,52.446573,-112.348474,40.319114,1.11e-05,-1.22e-06,-1.122e-05,5.149142443135864,0.3144016984540012,7.31583844e-08,-9.5605257e-08,Alp,5.0,Sge,1,96450,,259.6569790273785,,,
96858,97165.0,186882.0,7528.0,,18Del Cyg,Fawaris,19.749574,45.13081,50.5817,43.22,48.44,-20.0,2.86,-0.66,B9.5III,-0.002,15.779435,-32.006459,35.8481,-6e-07,2.518e-05,-6.12e-06,5.170426442444136,0.7876812218827774,2.095364727e-07,2.34843746e-07,Del,18.0,Cyg,1,96858,,159.95580286146696,,,
96970,97278.0,186791.0,7525.0,,50Gam Aql,Tarazed,19.770994,10.613261,121.0654,15.72,-3.08,-2.0,2.72,-2.695,K3II,1.507,53.215608,-106.431852,22.297682,7.5e-06,5.63e-06,-2.15e-06,5.1760341858612176,0.1852363513427162,7.62127106e-08,-1.4932261e-08,Gam,50.0,Aql,1,96970,,1042.3174293933046,,,
97338,97649.0,187642.0,7557.0,Gl 768,53Alp Aql,Altair,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-1.12e-06,3.087e-05,5.36e-06,5.195772105546999,0.15478141706831,2.6025768e-06,1.869150664e-06,Alp,53.0,Aql,1,97338,,11.376272858234303,Alp,0.803,0.753
97627,97938.0,188310.0,7595.0,,59Xi  Aql,Libertas,19.904134,8.461453,56.2746,101.43,-81.28,-42.0,4.71,0.958,K0III,1.023,26.612383,-48.887669,8.280414,5.55e-06,4.768e-05,-2.825e-05,5.210889980782017,0.1476802090051087,4.917465162e-07,-3.94056559e-07,Xi,59.0,Aql,1,97627,,36.04126286491436,,,
97725,98036.0,188512.0,7602.0,Gl 771A,60Bet Aql,Alshain,19.921887,6.406763,13.6986,46.35,-481.32,-40.7,3.71,3.027,G8IVvar,0.855,6.563854,-11.925647,1.528534,-1.553e-05,3.46e-05,-3.641e-05,5.215537811222483,0.1118191158294387,2.247111409e-07,-2.333505207e-06,Bet,60.0,Aql,1,97725,Gl 771,5.360434578161428,,,
97755,98066.0,188376.0,7597.0,,58Ome Sgr,Terebellum,19.930651,-26.299506,25.9875,203.96,74.4,-21.0,4.7,2.626,G3/G5III,0.748,11.280499,-20.384256,-11.514028,1.517e-05,2.565e-05,1.792e-05,5.21783225222735,-0.4590129768629425,9.888259829e-07,3.60701378e-07,Ome,58.0,Sgr,1,97755,,7.755324957585906,,,
97987,98298.0,226868.0,,,,Cygnus X-1,19.972688,35.201604,595.2381,-3.82,-7.62,-2.7,8.84,-0.033,B0Ib,0.73,240.17499,-422.950898,343.12808,-4.44e-06,-1.45e-05,-1.956e-05,5.228837432951027,0.6143838937504825,-1.85198826e-08,-3.6942802e-08,,,Cyg,1,97987,,89.78421709097269,V1357,8.883,8.793
99743,100064.0,192947.0,7754.0,,6Alp2Cap,Algedi,20.300904,-12.544852,32.4465,61.78,2.85,0.7,3.58,1.024,G6/G8III,0.883,17.945333,-26.097385,-7.047505,8.46e-06,4.85e-06,2.8e-07,5.314764237781554,-0.2189489680995962,2.995178918e-07,1.3817189e-08,Alp-2,6.0,Cap,1,99743,,33.91563869058218,,,
99985,100310.0,193432.0,7773.0,,8Nu  Cap,Alshat,20.344393,-12.75908,77.6398,15.71,-14.63,-2.0,4.77,0.32,B9IV,-0.047,43.612148,-61.902343,-17.146901,2.98e-06,6.03e-06,-4.92e-06,5.326149706437006,-0.2226879476221087,7.61642292e-08,-7.0928241e-08,Nu,8.0,Cap,1,99985,,64.86344335482381,,,
100020,100345.0,193495.0,7776.0,,9Bet Cap,Dabih,20.350187,-14.781367,100.2004,48.42,14.0,-19.0,3.05,-1.954,A5:n,0.79,55.920163,-79.116953,-25.564218,9.36e-06,2.75e-05,1.153e-05,5.327666598034361,-0.2579835241032437,2.347467841e-07,6.7873915e-08,Bet,9.0,Cap,1,100020,,526.744488331906,,,
100128,100453.0,194093.0,7796.0,,37Gam Cyg,Sadr,20.370473,40.256679,561.7978,2.43,-0.93,-8.0,2.23,-6.518,F8Ib,0.673,249.318228,-348.795593,363.040966,2.7e-06,7.6e-06,-7.22e-06,5.332977255083509,0.7026115975482887,1.17809724e-08,-4.508767e-09,Gam,37.0,Cyg,1,100128,,35253.318119588555,,,
100425,100751.0,193924.0,7790.0,,Alp Pav,Peacock,20.427459,-56.73509,54.8246,7.71,-86.15,2.0,1.94,-1.755,B2IV,-0.118,17.850262,-24.200974,-45.841245,-9.05e-06,1.572e-05,-1.427e-05,5.347896379067429,-0.9902141215861188,3.73791348e-08,-4.17666985e-07,Alp,,Pav,1,100425,,438.5306977749856,,,
101095,101421.0,195810.0,7852.0,,2Eps Del,Aldulfin,20.553547,11.303263,101.3171,10.75,-28.54,-19.0,4.03,-0.998,B6III,-0.123,61.580495,-77.965441,19.858319,-5.96e-06,1.607e-05,-1.755e-05,5.380906149027868,0.1972791512990399,5.21174707e-08,-1.38365824e-07,Eps,2.0,Del,1,101095,,218.37353276021747,,,
101442,101769.0,196524.0,7882.0,,6Bet Del,Rotanev,20.625816,14.595087,30.931,118.28,-47.65,-23.0,3.64,1.188,F5IV,0.425,18.994041,-23.134214,7.794139,4.1e-07,2.746e-05,-1.284e-05,5.399826077579187,0.2547323236299674,5.734376214e-07,-2.31013718e-07,Bet,6.0,Del,1,101442,,29.16083798521233,,,
101629,101958.0,196867.0,7906.0,,9Alp Del,Sualocin,20.660635,15.912072,77.821,54.14,7.91,-3.0,3.77,-0.685,B9V,-0.057,48.015095,-57.406003,21.335542,1.325e-05,1.599e-05,2.03e-06,5.408941596683609,0.2777180455516675,2.624781267e-07,3.8348762e-08,Alp,9.0,Del,1,101629,,163.68165214278085,,,
101767,102098.0,197345.0,7924.0,,50Alp Cyg,Deneb,20.690532,45.280338,432.9004,1.56,1.55,-5.0,1.25,-6.932,A2Ia,0.092,197.250632,-232.113407,307.600832,-1.33e-06,6.62e-06,-1.34e-06,5.416768542177067,0.790290982752855,7.5630934e-09,7.514612e-09,Alp,50.0,Cyg,1,101767,,51617.86054966733,Alp,1.294,1.224
102157,102488.0,197989.0,7949.0,Gl 806.1A,53Eps Cyg,Aljanah,20.770178,33.970256,22.2916,356.16,330.28,-10.9,2.48,0.739,K0III,1.021,12.262597,-13.834612,12.455654,9.44e-06,4.737e-05,2.337e-05,5.43761981873354,0.59289281587296,1.7267124047e-06,1.601242624e-06,Eps,53.0,Cyg,1,102157,Gl 806.1,44.09608164506378,,,
102287,102618.0,198001.0,7950.0,,2Eps Aqr,Albali,20.794598,-9.495776,63.6943,31.89,-35.32,-16.0,3.78,-0.241,A1V,0.0,41.969653,-46.744809,-10.507937,-4.66e-06,1.993e-05,-8.06e-06,5.444012900811973,-0.1657325503166712,1.546070827e-07,-1.71236191e-07,Eps,2.0,Aqr,1,102287,,108.74267195462436,,,
103195,103527.0,199665.0,8030.0,,18    Del,Musica,20.973871,10.839286,75.3012,-47.95,-34.35,0.0,5.51,1.126,G6III:,0.934,51.937043,-52.652515,14.160751,-1.081e-05,-1.397e-05,-1.232e-05,5.490946535903601,0.1891812288318837,-2.324681598e-07,-1.66533499e-07,,18.0,Del,1,103195,,30.87450475587447,,,
104046,104382.0,177482.0,7228.0,,Sig Oct,Polaris Australis,21.146119,-88.956499,86.1326,25.96,5.02,12.0,5.45,0.774,F0III,0.283,1.150845,-1.065873,-86.118423,9.07e-06,6.38e-06,-1.223e-05,5.536041063254276,-1.5525837960455977,1.258576315e-07,2.4337646e-08,Sig,,Oct,1,104046,,42.69725940480335,Sig,5.483,5.423
104649,104987.0,202447.0,8131.0,,8Alp Equ,Kitalpha,21.263731,5.247845,58.3431,59.63,-94.33,-16.0,3.92,0.09,G0III+...,0.549,43.818116,-38.149671,5.336289,6.3e-07,2.182e-05,-2.806e-05,5.56683174357598,0.09159216640849,2.890943977e-07,-4.57324744e-07,Alp,8.0,Equ,1,104649,,80.16780633876789,,,
